result_3
;Отзыв;Оценка
0;"
 










Я хотела бы поделиться своим отзывом о тональном креме Collagen. Пользуюсь этим кремом уже несколько недель, и могу сказать, что он превзошел все мои ожидания. 










Во-первых: текстура крема очень приятная. Он легко наносится на кожу и не оставляет никаких следов или ощущения липкости. Крем хорошо распределяется и мгновенно впитывается. 










Во-вторых: тональный крем обладает отличными увлажняющими свойствами. Моя кожа стала значительно мягче и гладкой после использования крема. 










Также, стоит отметить, что у крема есть свой запах, но он быстро улетучивается и не остаётся на коже.   










В общем, у меня положительное впечатление от тонального крема Collagen. Он отлично увлажняет и освежает кожу, помогает бороться с признаками старения и создает естественное покрытие. В целом, Collagen неплохой тональный крем, особенно если вам важна увлажнённость и матовое покрытие. 










 ";5
1;"Давно искала идеальный тональный крем. Фирму KoreLab выбрала не случайно, потому что люблю оригинальную качественную корейскую продукцию. Крем заказывала на OZON [ссылка] Пришёл быстро. Действительно скрывает все несовершенства, spf 38. В подарок положили пробник - крем для лица. 










Тональный крем и пробникТак как у меня жирная кожа лица, то после нанесения крема есть небольшой жирный блеск, нужно сверху использовать пудру. 










Фото доФото сделано без фильтров и результат мне действительно понравился. Это лучший тональный крем, который я использовала. 










Фото после";5
2;"Доброе утро!☀️ Недавно купила тональный крем Guerlain, заявленный как стойкий и с матовым эффектом.Могу сказать следующее: По сравнению с моим предыдущим тональником Диор очень проигрывает по всем позициям…Выглядит флакон очень симпатично: 










Перед использованием я хорошенько встряхиваю флакон, выдавливаю небольшое количество крема и наношу кистью на лицо.Кожа была загорелой после лета, поэтому я взяла оттенок 03 N, Naturel: 










Оттенок неплохой, но меня не устраивает, что плохо маскирует несовершенства, тогда как прошлый крем с таким же количеством нанесения и покраснения и прочие косяки скрывал отлично.Ниже фото «до и после», где видно, что вены не особо спрятались под кремом: 










Еще меня удручает, что стойкий крем почему то сильно оставляет пятна. Если провести легонько салфеткой по лицу, то она вся будет в пятнах.К матовому эффекту тоже претензии: через час лицо блестит как блин…А вот это фото я сделала с нанесенным кремом, где видно, что у меня есть синяк на лице от мезотерапии и он никуда не скрылся тональным кремом: 










В общем, этот крем не удовлетворил мои потребности в маскировке несовершенств, есть куда более удачные варианты из того же ценового сегмента!";3
3;"Всем привет. Продолжая поиски идеального тонального крема, я наткнулась на этот сырный вариант на просторах вайлдберриз. Не самая очевидная идея - миксовать тон и сыр. Какие у вас должны сложиться ассоциации? Тон так же дыряво лежит, как сыр? Или может его можно есть? (нет, нельзя) 










А может быть оттенки с очень тёплым жёлтым подтоном? Понятного мало, но флакончик мне показался милым, а цена приемлемой, чтобы попробовать и не сильно расстроиться, если не подойдёт. 










Сразу скажу, сырного аромата не ощутите. Вообще тон пахнет чем-то средним между детским увлажняющим кремом с ромашкой и старой шубой. Не самая приятная отдушка, но её чувствуешь только если принюхаться как следует, так что не критично. 










Упаковка картонная, очень милая и интересная. Она какая то двойная - основная коробочка и сверху ещё рукавчик с информацией. На нём и указан состав, кстати. На английском. 










Сам продукт сделан в Китае и у него довольно длительные сроки годности, аж удивительно. Штрихкод имеется, как и номер партии.Мой тюбик буквально только с конвейера, сделан в июле 2023 года. Так что у него нет шансов на скидку из серии ""долго лежал на складе"" или ""хранили небось неправильно "". Я купила тон в августе, то есть ему всего месяц. Брала за 330 рублей, бюджетно, учитывая, как поднялись цены в последнее время. 










У меня оттенок 01 и он ну ооочень светлый для моей послелетней кожи. Но контуринг и чуть тёмная пудра сгладили эту неприятность. К зиме цвет мне будет подходить идеально. Если, конечно, я продолжу использовать продукт. 










Также меня приятно удивил тот факт, что внутри бутылек с тоном был дополнительно обернуть в бумагу с забавным принтом. Ощущение, что на упаковку неплохо так потратились, но тогда логичный вопрос - а какова же цена самого крема? 










Баночка стеклянная, полупрозрачная, как будто затуманенная, с пластиковой крышкой. Выглядит симпатично, напоминает оформлением старый тон от буржуа. Под крышкой чёрный пластиковый дозатор. Лучше бы белый или бежевый, ну розовый на крайний случай. А то не сочетается, удешевляет вид. 










Хотя дозатор удобный, продукта выдаёт немного, легко регулировать количество. Мне на лицо хватает двух-трех нажатий. А учитывая плотность тона, может хватить и одного, если разтянуть слоем поменьше. 










Здесь полтора нажатия, так как разрабатывала помпу. Холостые движения были, штук пять. Оттенок, как видно, очень светлый, белоснежки будут в восторге. Но у меня к этому тону так много замечаний, что советовать его к покупке я никак не могу.1. Тон очень плотный, буквально как замазка. Да, у него высокая степень перекрытия и многие как раз подыскивают себе нечто подобное. Но это средство никак не фиксируется - почесали нос и всё покрытие осталось на руке, а на лице проплешина.При попытке припудрить тон у вас два пути: тонкий слой пудры и матовый эффект лишь на пару часов, а фиксации толком не будет всё равно или толстый слой пудры, но тогда тон через время скатается в комочки, отдельные островки с пигментом, а между ними трещинки и вашу кожу видно. Такое себе ощущение, как будто с вас сползают корочки от подсохших прыщей.2. Тон очень сильно проваливается в морщинки, особенно в носогубки и мимические на лбу. Посмеетесь пару раз или бровями подвигаете и всё, полосы светлые на весь день. А пытаешься их растушевать - пятна и проплешины.3. Сильно подчеркнута текстура кожи - в поры тон провалится, а шелушения подчеркнёт аккуратным контуром.4. Блестит лицо с этим средством уже часа через два на моей комбинированной коже. Но не в т-зоне, а везде. При попытке промокнуть салфеткой часть тона покидает лицо. При мысли припудриться вспомните, что тон тогда соберётся в комочки. Безысходность.5. Волосы к тону липнут. Хотя в зоне роста тон нормально смотрится, но немного ветра и потом долго пряди будете от лица отделять. При этом часть тона останется на волосах, а на лице полосы. 6. Телефон пачкает сильно.  










По итогу могу сказать, что это не самый плохой тональник в моей жизни. Его можно спасти, смешав с более легкой текстурой, чем я и буду заниматься, по крайней мере осенью. На зиму может пойдёт и так. Хотя, учитывая маркость средства, оно будет везде - на шапке, куртке и шарфе, стирать вещи придётся часто. Тональный крем похож на многие китайские кушоны, только более густой и плотный. 










Лицам без выраженной текстуры подойдёт, но и кожа тогда должна быть нормальная, ибо на жирной тон плывёт и блестит, а на сухой подчеркнёт все шелушения. Ну и повозиться с ним придётся, чтобы ровно распределить по лицу, без полос. Я использую спонж, это быстрее, чем кистью и тем более руками. Неделю тестировала, прыщами не обсыпало.";3
4;"О данном тональном креме я узнала пару месяцев назад от блогера в ютуб. И т.к. многие его хвалили, вдобавок обогащен интересными ингредиентами, да еще и низкая цена - любопытство взяло надо мной верх. Приобрела в Озон.УПАКОВКА. Шикарно оформленный флакон из матового стекла с толстыми стенками и дном. Надписи черной краской, золотистые линии набиты очень качественно. На лицевой стороне информация об особенностях крема - отсутствие масел в составе, наличие гиалуроновой кислоты, термальной воды в составе и защита микробиома кожи. Финиш указан сатиновым, также здесь производитель обещает эффект второй кожи. 










Сзади указана степень покрытия - 4 из 5, номер и название оттенка (у меня 15 NATURAL), расписаны те же свойства, что и на лицевой стороне, также информация о стойкости тона (24 часов) - информация на русском языке. Объем - 30 мл, срок годности после открытия тона в рамках срока годности - 6 месяцев. Общий срок годности - 3 года, как и подобает тональным кремам, дата производства также указана. Мне попался совсем свеженький крем. 










Крышка закрывается легко с характерным щелчком, а вот открывается уже чуть сложнее - надо приложить небольшие усилия. На поверхности тон стоит стойко, пониз флакона имеются небольшие ""ножки"". Упаковка продумана до мелочей, выглядит как у люкса!Помпа работает отлично, выдает тон дозировано, горлышко совсем узенькое - мне нравится. 










 










Состав:Aqua (Water), Cyclopentasiloxane, Cyclohexasiloxane, Isododecane, Glycerin, Cetyl PEG/PPG-10/1 Dimethicone, Microcrystalline Cellulose, Alcohol Denat., PEG-10 Dimethicone, Polyglyceryl-4 Isostearate, Copernicia Cerifera Cera, Polymnia Sonchifolia Root Juice, Euterpe Oleracea Fruit Extract, Tocopheryl Acetate, Ascorbyl Tetraisopalmitate, Sodium Hyaluronate, Alpha-Glucan Oligosaccharide, Inulin, Shorea Robusta Resin, Lactobacillus, Phenoxyethanol, DMDM Hydantoin, Ethylhexylglycerin, Potassium Sorbate, Sodium Benzoate, Sodium Chloride, Disteardimonium Hectorite, Magnesium Sulfate, Triethoxycaprylylsilane, Paraffin, Propylene Carbonate, Parfum (Fragrance), Aluminum Hydroxide, Tapioca Starch, Glycol Montanate, Maltodextrin, Sorbic Acid, Citric Acid, Limonene. +/-: CI 77891 (Titanium Dioxide), CI 77492 (Iron Oxide), CI 77491 (Iron Oxide), CI 77499 (Iron Oxide).Состав полон полезных ингредиентов, которые расположены в начале и середине - это большой плюс!СВОЙСТВА, ПРИМЕНЕНИЕ. Тон имеет выраженный запах, такой бывал у шампуней от ""Чистая линия"" (воспоминания из далеких 2000-х).Консистенция довольная густая, однородная, но я по привычке все равно взбалтываю флакон перед нанесением тона. Цвет скорее следовало назвать ""warm beige"", т.к. он теплый темно-бежевый: 










Распределила тон - обволакивает кожу восхитительно, действительно эффект второй кожи, как и обещано производителем (фото в разном освещении): 










 










Тон можно наносить как толстым слоем, так и тонким, способен перекрыть пост-акне, на 90% родинки. Он имеет свойство уходить в розовинку и чуть темнеть после минуты распределения, посмотрите на свеженанесенный свотч на уже распределенный тон: 










Проверяю стойкость водой (даже мыла небольшое количество посуды с этим свотчем на руке): 










На 90% тон воду выдержал: 










Демакияж осуществила влажной салфеткой, но лучше пользоваться мицеллярной водой, чтоб наверняка точно очистить поры от тона: 










У меня нормальная кожа, оливковый теплый подтон + загорелая, нанесла сначала солнцезащитный крем, затем поверх данный тон спонжем. Таким образом получается легкое покрытие. Если хотите плотное, то лучше выбрать тон или основу под макияж очень легкую, без масел и тон наносить пальцами. 










 










 










Тон лег идеально, не подчеркнул поры, не провалился в них, ощущается легко на коже, как увлажняющий крем. Он прекрасно подойдет как молодой, так и возрастной коже.Не рекомендую наносить его под глаза, т.к. отдушка в составе жжет их. По крайней мере, так было у меня.На тон прекрасно легла фиксирующая пудра: 










 










Тон в конце дня после ополаскивания лица водой сошел локально, опять-таки если хотите высокой стойкости, то не наносите крем под тон: 










Другой раз, когда не ополаскивала лицо, тоже под конец дня: 










 










- это отличный результат, тон если и сходит локально, то на общем фоне это абсолютно непримечательно. ИТОГ. Тональная основа отлично увлажняет кожу, подстраивается под нее, аккуратно обволакивает поры, не подчеркивая их, имеет среднюю стойкость и среднюю плотность, которую можно варьировать. Аллергии, прыщей, подкожников не вызвала.Я бы назвала данный тон легкой версией известного тона Estee Lauder Double Wear Stay-in-Place Makeup, Wonder Match может слегка опечатываться в отличие от него, но при этом какова разница в цене в пользу нашей гостьи этого отзыва! Однозначно рекомендую!Представлен во многих известных интернет-магазинах.";5
5;"Всем привет!До этого тонального крема с брендом Physician's Formula я была знакома только с отзывов блогеров. Знаю, что в бренде есть много хороших, качественных средств по относительно недорогой цене. Ну и на смену любимчику Bourjois я решила купить The Healthy Foundation. Все таки, положительные отзывы и рекомендации сделали свое дело.Цена: 1512 рублей со скидкойОбъем: 30 мл_____________________________________________________________________________________ДИЗАЙН.Во-первых, хочется отметить, что у тона шикарная упаковка. Тяжелая, стеклянная и видно, что производитель отчасти над этим заморочился. Мне очень нравится дизайн - выглядит, как ""люкс"". Конечно, сравнивать масс-маркет с люксом глупо, но это только про дизайн.  










С обратной стороны есть наклейка с информацией о средстве: 










Помпа у тона отсутствует, зато есть аппликатор внушительных размеров. Вполне удобен и даже негигиеничность в использовании меня не смущают. По идее, в косметичке у нас есть предостаточно средств с такими аппликаторами. Тем более, тональный крем использую только я. Ограничитель хороший. 










ТЕКСТУРА И ОТТЕНОК.Текстура средней плотности, чуть суховатая. Наношу его в основном влажным спонжем, так он становится более пластичным. Кистью тоже наносится хорошо, но у спонжа более тонкое покрытие. При нанесении не залипает и не полосит, сухость не подчеркивает. У меня оттенок LN3 — по идее светлый и нейтральный, но на самом деле имеет слегка розовый подтон. Поэтому я частенько мешаю его с аджастером от Мэнли. Единственный небольшой минус тона в том, что у нас представлено совсем немного оттенков. Трудно выбрать нужный. 










Небольшое сравнение с моими тональными основами. Слева-направо: Bourjois Healthy Mix №51, Physician's Formula The Healthy Foundation №LN3, Enough Collagen 3 in 1 Whitening Moisture Foundation: 










 В ПРИМЕНЕНИИ.Кожа у меня жирная и временами бывают воспаления и, соответственно, пост-акне. От тонального крема я обычно жду стойкость и выравнивание тона. Не люблю плотные и матирующие тональные основы и сейчас стараюсь выбирать более легкие варианты. Тем более, при надобности я могу перекрыть недостатки корректором или консилером.До: 










Нанесла тон влажным спонжем, без консилера и корректора: 










Кроющая способность хорошая. Какие-то сильные пост-акне я корректирую дополнительно. Финиш натуральный, слегка сияющий. Тон очень хорошо наслаивается и как будто ""сцепляется"" с кожей. На лице он практически не заметен. При фиксации почти не отпечатывается.До: 










После: 










В полном макияже выглядит отлично. Но даже с матирующей пудрой финиш ближе к натуральному.  










 СТОЙКОСТЬ.В макияже у меня обычно проблемные зоны - это крылья носа. Иногда тональный крем там слегка забивается и выглядит так себе, особенно с матирующими тональными кремами. С The Healthy Foundation все выглядит более менее хорошо. К концу дня макияж выглядит адекватно. В целом, блеск начинает проступать спустя 4-5 часов.После 8-ми часового рабочего дня выглядит вот так: 










 










ИТОГ.Тональным кремом я осталась довольная. Наносится максимально легко и быстро, вообще беспроблемно. Раньше моим любимчиком был Bourjois The Healthy Mix, но The Healthy Foundation прямо потеснил его. Однозначно повторю.";5
6;"Ни для кого не секрет, что комби кожа и жирная кожа- это одни из сложнейших типов кожи в плане подбора средств. Нужно выбирать такие, которые не только дают видимый результат, но и работают на перспективу- а именно, в нашем случае, не забивают поры, то есть не комедогенны.А девочкам с явными высыпаниями, особенно в стадии обострения, вообще очень часто бывает сложно скрыть акне и постакне.Но у меня есть супер рекомендация и сейчас я расскажу подробнее о тональном, который Вам точно должен понравится. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20 Бренд- CLINIQUE.Страна- Бельгия. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Объем-30 мл.Тип кожи-комбинированная, жирная, проблемная.Срок годности после вскрытия- 24 месяца.Цена- 3500 ориентировочно. Можно помониторить промокоды на скидку. Последний раз я взяла по очень выгодной стоимости.Где можно купить?-  во всех крупных магазинах косметики. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20В линейке представлена просто уйма оттенков - и если честно, для меня это больше усложняет выбор, чем помогает. Наверное, для визажистов это будет преимуществом, но для простого люда, думаю нет.Я каким-то магическим образом очень удачно подобрала себе оттенок с первого раза. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20У меня в оттенке CN 40. Дальше посмотрим его на свотчах. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Внутри картонной упаковки находится гость программы. Тональный крем в стеклянном флаконе. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Очень красивый и лаконичный дизайн.Есть нанесенная на этикетке информация, но не на нашем языке. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Так же на дне флакона дублируется оттенок. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Дозатор помповый и очень удобный. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Отлично дозирует средство силой нажатия, и если надо меньше- жмем нежнее. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20По текстуре приятный, средний по густоте. Хорошо распределяется и у него есть явное преимущество, о котором я рассказала в видео. Можно посмотреть здесь- .Рука до- 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Тон- 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Распределяем-  










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Становится очевидно, что плотность покрытия у тонального крема начинается с среднего и может быть достаточно высокой. Однако за счет того, что тон имеет некое жидкое состояние я часто использую его тоненьким слоем. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Финиш - матовый, но на коже он не выглядит ""наглухо"".Основную инфу разобрали, перейдем к использованию? 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20 ✅ О моей коже : комбинированного типа.акне и частые воспалительные элементы на лице.пересушенная в результате лечения акне кислотами.т-зона с расширенными порами. Сразу скажу, что этот тональный крем я повторила. Вот на днях заказала в Рив Гош с промокодом, который действовал на Клиник и тон мне обошелся в 2200 руб.Если мне необходимо идти на какое-то мероприятие, работу или есть необходимость быть уверенной в стойкости и качестве макияжа на миллион- я выбираю его.Хорошо бы, перед использованием качественно подготавливать кожу в зависимости от вашего типа.Мое до- 










Мое после- 










В макияже это выглядит так- 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Мне нравится, что тон не блокирует ( матирует) наглухо кожу, присутствует некий блеск/сияние , который дает ощущение, что кожа ухоженная, холенная, ""живая"".Стойкость 15 часов запросто, дольше не носила, не знаю.Нравится, что не подчеркивает шелушинки , неровности. Не проваливается в поры. Даже на фото вверху, я намерено сфотографировала часть своей проблемной зоны с расширенными порами так близко, тон ложится хорошо и смотрится все гармонично.В течении дня тон никуда не ""съезжает"". 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Ну если есть необходимость в матирование кожи можно добавить пудру дополнительно. Я крайне негативно отношусь к такому эффекту на своей коже.Крем хоть и матирует, но при этом не сушит, так как в состав входит гиалуроновая кислота.Вообще, заявлено, что тон не только маскирует, но и корректирует некоторые проблемы кожи, а именно-заметно сокращает пигментные пятна, выравнивает, осветляет тон и увлажняет кожу с помощью трех высокотехнологичных сывороток. Всего через 8 недель применения цвет лица становится более ровным, кожа разглаживается и наполняется сиянием, а ощущение увлажнения сохраняется даже после удаления макияжа. Еще варианты макияжа с эти тоном- 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Кстати, ""дружит"" со всеми моими косметическими штучками и не окисляется ни от одного средства. 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20 










Тональный крем CLINIQUE Even Better Clinical Serum Foundation SPF 20Мне нравится, что кожа остается будто подсвечена изнутри. Тональный крем на мой взгляд шикарен. Я сравнивала его с Эсти Лаудер, Клиник понравился гораздо больше.Для себя я отметила следующие преимущества-стойкость и уверенность в макияже в любых условиях.наличие спф, пусть небольшого, но все же.ухаживающие компоненты в составе.реальный результат на проблемной кожи-все маскирует без эффекта штукатурки.легко тушуется.оставляет после себя подсвеченную кожу изнутри.возможность варьировать степень покрытия.Еще больше полезных средств по уходу за кожей, волосами, а так же обзоры на декоративную косметику- смотрите на моей страничке juni4ka, твой добрый друг и помощник в выборе средств 😉😉😉";5
7;"Доброго времени суток! Я думаю любой девушке достаточно сложно подобрать тональное средство для своей коже, даже когда выбираешь в магазине, толи там освещение не такое, но после покупки и первого использования замечаешь как тоналка просто выделяется на коже, не подходит цвет, выделяются шероховатости, не маскирует.Так вот, я искала очень долго подходящую тональную основу. Какие только я не покупала и из дорогого сегмента, и из дешевого, и BB, и СС, и кушон... Деньги в мусор, толку ноль.Так я собственно методом перебора и наткнулась на средство The One A-Z от Oriflame, 2 в 1 - увлажнение и тон. Просто взяла попробовать. 










 










Выбрала я Hydra оттенок Естественный, он мне подошел, конечно были сомнения, что ошибусь с оттенком, но все хорошо. Серия Hydra предназначена для нормальной и сухой кожи. У меня где-то сухая, где-то жирная. Что порадовало, так это наличие защиты 30 SPF от UV-лучей, не нужно дополнительно наносить защиту. 










Упаковка: пластиковая, красивого розового оттенка, на ощупь туба приятная, объем 30 мл, с откручивающейся крышкой. 










Содержимое: светло-бежевого цвета, приятная кремовая текстура, не растекается. Запах легкий, не навязчивый и очень приятный. 










Нанесение: на подготовленную, заранее очищенную и уже увлажненную кожу распределяю небольшое количество крем-тона, распределяется равномерно, я люблю наносить просто руками, после нанесения быстро впитывается и не оставляет жирных следов. 










Результат: Идеальный ровный тон, отлично увлажняет, делает легкое ровное покрытие, сверху наношу только консилер и пудру, и то по необходимости, не всегда. Не выделяет шелушение, делает кожу на щеках однотонной. Я очень довольна тональным средством, да еще он из бюджетной линейки, это не может не радовать.";5
8;"Всем большой привет!Давно я не писала о косметике, хотя продолжаю ее любить и пробовать новинки. Тональный крем, о котором пойдет речь, уже далеко не новинка, но отзывов о нем пока немного. Мне же он очень полюбился, я покупаю его уже третий раз подряд и хочу поделиться отзывом.Марка Odry это «дочка» Арт-визаж, так же как Estrade, N`yon, Ruta и прочее. То есть косметика производится в России. Одри считается косметикой более дорогого сегмента среди остальных своих собратьев (имею в виду группу брендов Арт-визаж). Как заявляет сам производитель, это оттого, что в продукты марки добавлена более высокая концентрация ухаживающих компонентов.Но не будем тут расписывать как в рекламе, лучше расскажу о тоне, что я о нем думаю.Тональный крем Odry Collagen skin. 










Цена - везде по-разному, самая высокая цена по моим наблюдениям в им Только тебе (1012р) , самая низкая на Вб (513р). Продается марка так же в Летуаль и Золотом яблоке.Объём - 35 мл.Упаковка.Думаю, примерно половина стоимости идёт именно за это, тяжёлое матовое стекло выглядит очень презентабельно. На фоне обычных туб от Арт-визаж и Эстраде так подавно, они даже конкуренции не выдерживают. 










Крышка пластиковая, и на ней вот такой металлический зеркальный элемент. Выглядит симпатично. 










У флакона очень удобный нажимной дозатор. К концу использования, как и все подобные дозаторы, начинает плеваться, а вот при первом применении нужно сделать около 30 нажатий (я конечно не считала, написала от балды, но нажимать нужно просто очень очень много раз), чтобы прошла воздушная пробка и крем наконец начал подаваться. 










Есть во всей этой эстетичной упаковке серьёзный минус: такой дозатор не позволяет достать крем по краям, и приходится выкидывать его с таким количеством продукта, которого ещё хватило бы недели на две. Если бы сделали вакуумный дозатор, проблема была бы решена. Каждый раз думаю, может быть, разбить флакон, чтобы достать остатки, но и флакон жалко, и разбивать страшно, порежусь же обязательно, плюс ещё все эти осколки… вот и выкидываю.Достать самой трубочкой дозатора до всех стенок не получается, как ни старайся. 










Ещё во всех отзывах пишут, что видно расход, так как флакон прозрачный. Ну, флакон-то прозрачный, однако, расход не видно, потому что крем довольно густой, и по стенкам он не стекает (ещё к вопросу о том, как много его остаётся на стенках, что невозможно достать дозатором), так что картина не меняется, что в начале использования, что в конце, никакого уровня расхода через стекло не видно.Номер оттенка указан как на задней части флакона, так и на донышке. 










 










Аромат у первых выпусков был божественный, легкий ванильный. Сейчас же крем пахнет чем-то похожим на шампанское, для меня аромат неприятный, но так как тон нравится, я с ним мирюсь. Но если вдруг отзыв прочитает производитель - верните старую отдушку)) у нас даже люди пугаются из-за этого, и думают, что купили подделку.Текстура у тона кремовая, достаточно густая. Покрытие средней плотности. После нанесения остаётся живой полуматовый финиш, так что я щедро запудриваю его пудрой. Живой полуматовый по сравнению с Катрис, стоит заметить, потому что для других людей он бывает вполне себе матовым. Распределяется по коже легко, я использую кисть кабуки.Оттенки.У тонального крема с коллагеном в линейке 5 оттенков. Я выбрала для себя самый светлый, 03. Однако, для по-настоящему белокожих девушек он будет темноват. Я хоть и светлая, но не прям белокожая. Тон 01 более желтый и довольно заметно темнее, чем 03, так что если покупаете впервые, обратите внимание. 










Оттенок 03 на моей коже выглядит так: 










Плюс этого тона для меня ещё в том, что он не окисляется. С этим большие проблемы у тонов Арт-визаж и Ньон, у Одри же тут все хорошо. Моя кожа: Кожа у меня жирная, и я всегда испытываю проблемы с подбором тонального крема, потому что многие исчезают с проблемных зон уже после обеда. Проблемные зоны, а именно самые жирные, это нос, лоб и подбородок. Именно на этих зонах не сидит практически ни один тональник. На моей жирной коже этот тональный крем держится целый рабочий день, 12 часов. Конечно, я постоянно использую матирующие салфетки и пудру, каждые 4 часа. Он просто начинает блестеть, но никуда не сползает и не исчезает, как некоторые другие.В плане нанесении косметики моя самая проблемная зона на лице это нос. Именно там многие тональные даже не ложатся, исчезая в течение первых 30 минут после нанесения. Одри ведёт себя в этой проблемной зоне просто прекрасно! И ложится красиво, и держится достойно. 










А на данном фото тональный находится на моем лице уже три часа, видно, что он заблестел, но проблему прекрасно решают матирующие салфетки. 










Мне данный тон очень нравится, да, он не дает глухого матового покрытия, но с ним очень красивая кожа, с ним комфортно, и он не исчезает с моих самых жирных зон на лице. Понравится тем, кто не любит эффект перепудренности. Рекомендую! Ваша NataHappiness, до скорой встречи!​♡";5
