token;tag
сапфировое;ADJ
стекло;NOUN
и;CONJ
корпус;NOUN
из;ADP
желтого;ADJ
золота;NOUN
держит;VERB
ремешок;NOUN
из;ADP
крокодиловой;ADJ
кожи;NOUN
но;CONJ
с;ADP
крохина;NOUN
обидное;ADJ
прозвище;NOUN
стекло;VERB
как;CONJ
с;ADP
гуся;NOUN
вода;NOUN
москва;NOUN
клеила;VERB
стекла;NOUN
проходил;VERB
первый;ADJ
месяц;NOUN
наступал;VERB
второй;ADJ
месяц;NOUN
войны;NOUN
сварить;VERB
до;ADP
мягкости;NOUN
откинуть;VERB
на;ADP
решето;NOUN
чтобы;CONJ
вода;NOUN
стекла;VERB
и;CONJ
не;PART
давая;VERB
остыть;VERB
положить;VERB
обратно;ADV
в;ADP
кастрюлю;NOUN
в;ADP
распущенное;VERB
масло;NOUN
размешать;VERB
переложить;VERB
на;ADP
блюдо;NOUN
тотчас;ADV
подавать;VERB
грозно;ADV
подняв;VERB
узкий;ADJ
поплавок;NOUN
головы;NOUN
она;PRON
струйкой;NOUN
стекла;VERB
вниз;ADV
в;ADP
каменную;ADJ
щель;NOUN
размешать;VERB
одну;NUM
четвертую;NUM
фунта;NOUN
масла;NOUN
восемь;NUM
желтков;NOUN
одну;NUM
вторую;NUM
стакана;NOUN
молока;NOUN
немного;ADV
лимонной;ADJ
цедры;NOUN
поставить;VERB
на;ADP
плиту;NOUN
испечь;VERB
род;NOUN
самой;ADJ
жиденькой;ADJ
яичницы;NOUN
постоянно;ADV
ее;PRON
мешая;VERB
перелить;VERB
тотчас;ADV
в;ADP
чашку;NOUN
положить;VERB
одну;NUM
вторую;NUM
стакана;NOUN
сахара;NOUN
одну;NUM
четвертую;NUM
фунта;NOUN
муки;NOUN
и;CONJ
восемь;NUM
сбитых;VERB
белков;NOUN
размешать;VERB
всыпать;VERB
менее;ADV
одной;NUM
четвертой;NUM
фунта;NOUN
тонких;ADJ
мелко;ADV
наломанных;VERB
макарон;NOUN
столовую;ADJ
ложку;NOUN
рома;NOUN
размешать;VERB
переложить;VERB
в;ADP
сотейник;NOUN
печь;VERB
целый;ADJ
час;NOUN
потом;ADV
ушёл;VERB
в;ADP
палатку;NOUN
и;CONJ
вскоре;ADV
вернулся;VERB
с;ADP
кастрюлей;NOUN
мытой;ADJ
картошки;NOUN
печь;VERB
будем;VERB
на;ADP
углях;NOUN
вкусно;ADV
аж;PART
жуть;NOUN
а;CONJ
ты;PRON
сколько;ADV
печь;VERB
будешь;VERB
класть;VERB
все;PRON
это;PRON
совпало;VERB
с;ADP
колюниной;ADJ
кропоткинской;ADJ
а;CONJ
потом;ADV
теплостановской;ADJ
а;CONJ
затем;ADV
и;CONJ
филевской;ADJ
молодостью;NOUN
когда;CONJ
влюбленные;ADJ
парочки;NOUN
ходили;VERB
слушать;VERB
яростных;ADJ
площадных;ADJ
горлопанов;NOUN
и;CONJ
набивались;VERB
битком;ADV
в;ADP
душные;ADJ
историко-архивные;ADJ
аудитории;NOUN
когда;CONJ
поцелуи;NOUN
перемежались;VERB
политическими;ADJ
разговорами;NOUN
и;CONJ
спорами;NOUN
все;PRON
было;VERB
так;ADV
неожиданно;ADV
и;CONJ
одновременно;ADV
с;ADP
этим;PRON
естественно;ADV
и;CONJ
логично;ADV
что;CONJ
растапливая;VERB
в;ADP
Купавне;NOUN
печь;NOUN
и;CONJ
листая;VERB
старые;ADJ
партийные;ADJ
газеты;NOUN
одинокий;ADJ
дачник;NOUN
не;PART
мог;VERB
поверить;VERB
в;ADP
реальность;NOUN
всего;PRON
в;ADP
них;PRON
содержавшегося;VERB
и;CONJ
в;ADP
то;PRON
что;CONJ
сам;ADJ
был;VERB
пионером;NOUN
выносил;VERB
на;ADP
сцену;NOUN
дворца;NOUN
съездов;NOUN
золотой;ADJ
ключик;NOUN
и;CONJ
поди;INTJ
ж;PART
ты;PRON
чем;PRON
не;PART
диссидент;NOUN
отказался;VERB
читать;VERB
приветствие;NOUN
в;ADP
честь;NOUN
дорогого;ADJ
и;CONJ
любимого;ADJ
леонида;NOUN
ильича;NOUN
брежнева;NOUN
у;ADP
феномена;NOUN
дали;NOUN
другая;ADJ
структура;NOUN
и;CONJ
природа;NOUN
и;CONJ
само;ADJ
собой;PRON
продажи;NOUN
дали;NOUN
не;PART
идут;VERB
ни;PART
в;ADP
какое;ADJ
сравнение;NOUN
с;ADP
продажами;NOUN
пикассо;NOUN
в;ADP
каждое;ADJ
ухо;NOUN
ввой;VERB
вся;ADJ
земля;NOUN
каторжник;NOUN
с;ADP
наполовину;ADV
выбритой;VERB
солнцем;NOUN
головой;NOUN
празднику;NOUN
тела;NOUN
сердце;NOUN
вызнакомь;VERB
нынче;ADV
словом;NOUN
не;PART
пофанфороните;VERB
шею;NOUN
крючь;VERB
да;CONJ
спину;NOUN
гни;VERB
на;ADP
вершочном;ADJ
незаметном;ADJ
фронте;NOUN
завоёвываются;VERB
дни;NOUN
приёмные;ADJ
комиссии;NOUN
были;VERB
созданы;VERB
в;ADP
горьком;NOUN
киеве;NOUN
ленинграде;NOUN
москве;NOUN
и;CONJ
тбилиси;NOUN
в;ADP
оон;NOUN
отказались;VERB
вступать;VERB
в;ADP
конфликт;NOUN
с;ADP
маском;NOUN
по;ADP
поводу;NOUN
миграции;NOUN
ольга;NOUN
отметилась;VERB
во;ADP
многих;ADJ
популярных;ADJ
сериалах;NOUN
2000-х;ADJ
годов;NOUN
таких;ADJ
как;CONJ
солдаты;NOUN
моя;ADJ
прекрасная;ADJ
няня;NOUN
ранетки;NOUN
воронины;NOUN
папины;ADJ
дочки;NOUN
в;ADP
последнем;ADJ
она;PRON
сыграла;VERB
роль;NOUN
изольды;NOUN
анатольевны;NOUN
инспектора;NOUN
роно;NOUN
в;ADP
трех;NUM
сериях;NOUN
ряд;NOUN
учёных;NOUN
из;ADP
германии;NOUN
италии;NOUN
франции;NOUN
швеции;NOUN
сша;NOUN
китая;NOUN
кореи;NOUN
удостоены;VERB
звания;NOUN
почётного;ADJ
профессора;NOUN
и;CONJ
доктора;NOUN
спбгти;NOUN
ту;NOUN
настоящей;ADJ
жемчужиной;NOUN
