corpus_data
;token;tag
0;Сапфировое;ADJF
1;стекло;NOUN
2;и;CCONJ
3;корпус;NOUN
4;из;ADP
5;желтого;ADJF
6;золота;NOUN
7;держит;VERB
8;ремешок;NOUN
9;из;ADP
10;крокодиловой;ADJF
11;кожи;NOUN
12;.;PUNCT
13;Но;CCONJ
14;с;ADP
15;Крохина;PROPN
16;обидное;ADJF
17;прозвище;NOUN
18;стекло;VERB
19;как;SCONJ
20;с;ADP
21;гуся;NOUN
22;вода;NOUN
23;.;PUNCT
24;Москва;PROPN
25;клеила;VERB
26;стекла;NOUN
27;.;PUNCT
28;Проходил;VERB
29;первый;NUM
30;месяц;NOUN
31;,;PUNCT
32;наступал;VERB
33;второй;NUM
34;месяц;NOUN
35;войны;NOUN
36;.;PUNCT
37;Сварить;INFN
38;до;ADP
39;мягкости;NOUN
40;,;PUNCT
41;откинуть;INFN
42;на;ADP
43;решето;NOUN
44;,;PUNCT
45;чтобы;SCONJ
46;вода;NOUN
47;стекла;VERB
48;и;CCONJ
49;,;PUNCT
50;не;PART
51;давая;GRND
52;остыть;INFN
53;,;PUNCT
54;положить;INFN
55;обратно;ADV
56;в;ADP
57;кастрюлю;NOUN
58;в;ADP
59;распущенное;PRTF
60;масло;NOUN
61;,;PUNCT
62;размешать;INFN
63;,;PUNCT
64;переложить;INFN
65;на;ADP
66;блюдо;NOUN
67;,;PUNCT
68;тотчас;ADP
69;подавать;INFN
70;.;PUNCT
71;Грозно;ADV
72;подняв;GRND
73;узкий;ADJF
74;поплавок;NOUN
75;головы;NOUN
76;,;PUNCT
77;она;SPRO
78;струйкой;NOUN
79;стекла;VERB
80;вниз;ADV
81;,;PUNCT
82;в;ADP
83;каменную;ADJF
84;щель;NOUN
85;.;PUNCT
86;Размешать;INFN
87;одну;NUM
88;четвертую;NUM
89;фунта;NOUN
90;масла;NOUN
91;,;PUNCT
92;восемь;NUM
93;желтков;NOUN
94;,;PUNCT
95;одну;NUM
96;вторую;NUM
97;стакана;NOUN
98;молока;NOUN
99;,;PUNCT
100;немного;ADV
101;лимонной;ADJF
102;цедры;NOUN
103;,;PUNCT
104;поставить;INFN
105;на;ADP
106;плиту;NOUN
107;,;PUNCT
108;испечь;INFN
109;род;NOUN
110;самой;APRO
111;жиденькой;ADJF
112;яичницы;NOUN
113;,;PUNCT
114;постоянно;ADV
115;ее;SPRO
116;мешая;GRND
117;,;PUNCT
118;перелить;INFN
119;тотчас;ADV
120;в;ADP
121;чашку;NOUN
122;,;PUNCT
123;положить;INFN
124;одну;NUM
125;вторую;NUM
126;стакана;NOUN
127;сахара;NOUN
128;,;PUNCT
129;одну;NUM
130;четвертую;NUM
131;фунта;NOUN
132;муки;NOUN
133;и;CCONJ
134;восемь;NUM
135;сбитых;ADJF
136;белков;NOUN
137;,;PUNCT
138;размешать;INFN
139;,;PUNCT
140;всыпать;INFN
141;менее;ADV
142;одной;NUM
143;четвертой;NUM
144;фунта;NOUN
145;тонких;ADJF
146;мелко;ADV
147;наломанных;ADJF
148;макарон;NOUN
149;,;PUNCT
150;столовую;ADJF
151;ложку;NOUN
152;рома;NOUN
153;,;PUNCT
154;размешать;INFN
155;,;PUNCT
156;переложить;INFN
157;в;ADP
158;сотейник;NOUN
159;.;PUNCT
160;Печь;VERB
161;целый;ADJF
162;час;NOUN
163;.;PUNCT
164;Потом;ADV
165;ушёл;VERB
166;в;ADP
167;палатку;NOUN
168;и;CCONJ
169;вскоре;ADV
170;вернулся;VERB
171;с;ADP
172;кастрюлей;NOUN
173;мытой;ADJF
174;картошки;NOUN
175;.;PUNCT
176;–;PUNCT
177;Печь;INFN
178;будем;AUX
179;на;ADP
180;углях;NOUN
181;!;PUNCT
182;Вкусно;ADV
183;,;PUNCT
184;аж;PART
185;жуть;NOUN
186;!;PUNCT
187;—;PUNCT
188;А;CCONJ
189;ты;SPRO
190;сколько;ADV
191;печь;INFN
192;будешь;AUX
193;класть;INFN
194;?;PUNCT
195;Все;SPRO
196;это;DET
197;совпало;VERB
198;с;ADP
199;Колюниной;ADJF
200;кропоткинской;ADJF
201;,;PUNCT
202;а;CCONJ
203;потом;ADV
204;теплостановской;ADJF
205;,;PUNCT
206;а;CCONJ
207;затем;ADV
208;и;CCONJ
209;филевской;ADJF
210;молодостью;NOUN
211;,;PUNCT
212;когда;SCONJ
213;влюбленные;ADJF
214;парочки;NOUN
215;ходили;VERB
216;слушать;INFN
217;яростных;ADJF
218;площадных;ADJF
219;горлопанов;NOUN
220;и;CCONJ
221;набивались;VERB
222;битком;ADV
223;в;ADP
224;душные;ADJF
225;историко-архивные;ADJF
226;аудитории;NOUN
227;,;PUNCT
228;когда;SCONJ
229;поцелуи;NOUN
230;перемежались;VERB
231;политическими;ADJF
232;разговорами;NOUN
233;и;CCONJ
234;спорами;NOUN
235;,;PUNCT
236;все;SPRO
237;было;AUX
238;так;ADV
239;неожиданно;ADV
240;и;CCONJ
241;одновременно;ADV
242;с;ADP
243;этим;DET
